Route,Segment,Date,TripStartTime,Scheduled Running Time,Actual Running Time
"        50 - Route 50",bearid - sanout,01/23/2022 12:00 AM,07:20:00,420,269
"        50 - Route 50",bearid - sanout,02/20/2022 12:00 AM,07:20:00,420,250
"        50 - Route 50",bearid - sanout,03/27/2022 12:00 AM,07:20:00,420,270
"        50 - Route 50",btwrsh - dantre,02/13/2022 12:00 AM,07:20:00,960,850
"        50 - Route 50",btwrsh - dantre,02/20/2022 12:00 AM,07:20:00,960,634
"        50 - Route 50",btwrsh - dantre,03/13/2022 12:00 AM,07:20:00,960,523
"        50 - Route 50",btwrsh - dantre,03/20/2022 12:00 AM,07:20:00,960,603
"        50 - Route 50",dantre - rsw,01/02/2022 12:00 AM,07:20:00,540,582
"        50 - Route 50",dantre - rsw,03/20/2022 12:00 AM,07:20:00,540,534
"        50 - Route 50",heapar - winsum,01/30/2022 12:00 AM,07:20:00,300,170
"        50 - Route 50",sanout - heapar,01/23/2022 12:00 AM,07:20:00,840,727
"        50 - Route 50",winsum - btwrsh,02/06/2022 12:00 AM,07:20:00,900,807
"        50 - Route 50",bearid - sanout,12/05/2021 12:00 AM,07:20:00,420,316
"        50 - Route 50",btwrsh - dantre,12/12/2021 12:00 AM,07:20:00,960,738
"        50 - Route 50",btwrsh - dantre,01/02/2022 12:00 AM,07:20:00,960,720
"        50 - Route 50",dantre - rsw,12/05/2021 12:00 AM,07:20:00,540,605
"        50 - Route 50",dantre - rsw,12/26/2021 12:00 AM,07:20:00,540,575
"        50 - Route 50",heapar - winsum,01/02/2022 12:00 AM,07:20:00,300,193
"        50 - Route 50",heapar - winsum,04/03/2022 12:00 AM,07:20:00,300,253
"        50 - Route 50",sanout - heapar,02/27/2022 12:00 AM,07:20:00,840,671
"        50 - Route 50",bearid - sanout,12/12/2021 12:00 AM,07:20:00,420,289
"        50 - Route 50",bearid - sanout,04/03/2022 12:00 AM,07:20:00,420,264
"        50 - Route 50",btwrsh - dantre,12/19/2021 12:00 AM,07:20:00,960,746
"        50 - Route 50",btwrsh - dantre,01/30/2022 12:00 AM,07:20:00,960,614
"        50 - Route 50",dantre - rsw,12/12/2021 12:00 AM,07:20:00,540,554
"        50 - Route 50",heapar - winsum,01/16/2022 12:00 AM,07:20:00,300,280
"        50 - Route 50",sanout - heapar,12/05/2021 12:00 AM,07:20:00,840,708
"        50 - Route 50",sanout - heapar,12/12/2021 12:00 AM,07:20:00,840,739
"        50 - Route 50",sanout - heapar,01/02/2022 12:00 AM,07:20:00,840,776
"        50 - Route 50",winsum - btwrsh,01/30/2022 12:00 AM,07:20:00,900,717
"        50 - Route 50",winsum - btwrsh,04/03/2022 12:00 AM,07:20:00,900,599
"        50 - Route 50",bearid - sanout,01/09/2022 12:00 AM,07:20:00,420,299
"        50 - Route 50",bearid - sanout,02/13/2022 12:00 AM,07:20:00,420,299
"        50 - Route 50",bearid - sanout,02/27/2022 12:00 AM,07:20:00,420,314
"        50 - Route 50",btwrsh - dantre,02/27/2022 12:00 AM,07:20:00,960,669
"        50 - Route 50",btwrsh - dantre,04/03/2022 12:00 AM,07:20:00,960,602
"        50 - Route 50",dantre - rsw,02/20/2022 12:00 AM,07:20:00,540,511
"        50 - Route 50",dantre - rsw,04/03/2022 12:00 AM,07:20:00,540,478
"        50 - Route 50",sanout - heapar,03/27/2022 12:00 AM,07:20:00,840,706
"        50 - Route 50",winsum - btwrsh,01/16/2022 12:00 AM,07:20:00,900,722
"        50 - Route 50",bearid - sanout,01/16/2022 12:00 AM,07:20:00,420,291
"        50 - Route 50",bearid - sanout,02/06/2022 12:00 AM,07:20:00,420,389
"        50 - Route 50",bearid - sanout,03/13/2022 12:00 AM,07:20:00,420,296
"        50 - Route 50",btwrsh - dantre,01/23/2022 12:00 AM,07:20:00,960,636
"        50 - Route 50",dantre - rsw,01/09/2022 12:00 AM,07:20:00,540,679
"        50 - Route 50",dantre - rsw,02/13/2022 12:00 AM,07:20:00,540,560
"        50 - Route 50",dantre - rsw,02/27/2022 12:00 AM,07:20:00,540,543
"        50 - Route 50",dantre - rsw,03/27/2022 12:00 AM,07:20:00,540,518
"        50 - Route 50",heapar - winsum,03/20/2022 12:00 AM,07:20:00,300,170
"        50 - Route 50",winsum - btwrsh,01/02/2022 12:00 AM,07:20:00,900,644
"        50 - Route 50",bearid - sanout,01/02/2022 12:00 AM,07:20:00,420,240
"        50 - Route 50",bearid - sanout,01/30/2022 12:00 AM,07:20:00,420,302
"        50 - Route 50",btwrsh - dantre,12/26/2021 12:00 AM,07:20:00,960,714
"        50 - Route 50",btwrsh - dantre,03/27/2022 12:00 AM,07:20:00,960,710
"        50 - Route 50",dantre - rsw,01/30/2022 12:00 AM,07:20:00,540,588
"        50 - Route 50",dantre - rsw,03/13/2022 12:00 AM,07:20:00,540,552
"        50 - Route 50",heapar - winsum,02/13/2022 12:00 AM,07:20:00,300,402
"        50 - Route 50",sanout - heapar,01/30/2022 12:00 AM,07:20:00,840,828
"        50 - Route 50",sanout - heapar,02/13/2022 12:00 AM,07:20:00,840,785
"        50 - Route 50",sanout - heapar,02/20/2022 12:00 AM,07:20:00,840,752
"        50 - Route 50",sanout - heapar,03/13/2022 12:00 AM,07:20:00,840,728
"        50 - Route 50",sanout - heapar,04/03/2022 12:00 AM,07:20:00,840,771
"        50 - Route 50",winsum - btwrsh,02/13/2022 12:00 AM,07:20:00,900,728
"        50 - Route 50",bearid - sanout,12/19/2021 12:00 AM,07:20:00,420,338
"        50 - Route 50",bearid - sanout,03/06/2022 12:00 AM,07:20:00,420,284
"        50 - Route 50",bearid - sanout,03/20/2022 12:00 AM,07:20:00,420,244
"        50 - Route 50",btwrsh - dantre,12/05/2021 12:00 AM,07:20:00,960,611
"        50 - Route 50",btwrsh - dantre,02/06/2022 12:00 AM,07:20:00,960,644
"        50 - Route 50",dantre - rsw,01/23/2022 12:00 AM,07:20:00,540,501
"        50 - Route 50",dantre - rsw,02/06/2022 12:00 AM,07:20:00,540,513
"        50 - Route 50",dantre - rsw,03/06/2022 12:00 AM,07:20:00,540,491
"        50 - Route 50",sanout - heapar,12/26/2021 12:00 AM,07:20:00,840,733
"        50 - Route 50",sanout - heapar,01/16/2022 12:00 AM,07:20:00,840,828
"        50 - Route 50",sanout - heapar,03/06/2022 12:00 AM,07:20:00,840,805
"        50 - Route 50",winsum - btwrsh,03/20/2022 12:00 AM,07:20:00,900,650
"        50 - Route 50",bearid - sanout,12/26/2021 12:00 AM,07:20:00,420,285
"        50 - Route 50",btwrsh - dantre,01/09/2022 12:00 AM,07:20:00,960,590
"        50 - Route 50",btwrsh - dantre,01/16/2022 12:00 AM,07:20:00,960,638
"        50 - Route 50",dantre - rsw,12/19/2021 12:00 AM,07:20:00,540,554
"        50 - Route 50",dantre - rsw,01/16/2022 12:00 AM,07:20:00,540,567
"        50 - Route 50",sanout - heapar,12/19/2021 12:00 AM,07:20:00,840,713
"        50 - Route 50",sanout - heapar,01/09/2022 12:00 AM,07:20:00,840,817
"        50 - Route 50",sanout - heapar,03/20/2022 12:00 AM,07:20:00,840,738
"        50 - Route 50",bearid - sanout,12/05/2021 12:00 AM,09:35:00,420,315
"        50 - Route 50",bearid - sanout,12/12/2021 12:00 AM,09:35:00,420,343
"        50 - Route 50",bearid - sanout,01/02/2022 12:00 AM,09:35:00,420,473
"        50 - Route 50",bearid - sanout,03/20/2022 12:00 AM,09:35:00,420,277
"        50 - Route 50",btwrsh - dantre,01/16/2022 12:00 AM,09:35:00,960,689
"        50 - Route 50",dantre - rsw,02/06/2022 12:00 AM,09:35:00,540,528
"        50 - Route 50",dantre - rsw,03/06/2022 12:00 AM,09:35:00,540,561
"        50 - Route 50",heapar - winsum,01/16/2022 12:00 AM,09:35:00,300,223
"        50 - Route 50",heapar - winsum,03/13/2022 12:00 AM,09:35:00,300,199
"        50 - Route 50",sanout - heapar,12/12/2021 12:00 AM,09:35:00,840,718
"        50 - Route 50",sanout - heapar,12/19/2021 12:00 AM,09:35:00,840,737
"        50 - Route 50",winsum - btwrsh,01/02/2022 12:00 AM,09:35:00,900,669
"        50 - Route 50",winsum - btwrsh,01/23/2022 12:00 AM,09:35:00,900,799
"        50 - Route 50",bearid - sanout,12/26/2021 12:00 AM,09:35:00,420,324
"        50 - Route 50",bearid - sanout,01/16/2022 12:00 AM,09:35:00,420,326
"        50 - Route 50",btwrsh - dantre,01/09/2022 12:00 AM,09:35:00,960,794
"        50 - Route 50",btwrsh - dantre,02/13/2022 12:00 AM,09:35:00,960,736
"        50 - Route 50",dantre - rsw,02/13/2022 12:00 AM,09:35:00,540,523
"        50 - Route 50",dantre - rsw,03/13/2022 12:00 AM,09:35:00,540,556
"        50 - Route 50",heapar - winsum,01/02/2022 12:00 AM,09:35:00,300,155
"        50 - Route 50",heapar - winsum,03/20/2022 12:00 AM,09:35:00,300,171
"        50 - Route 50",sanout - heapar,02/27/2022 12:00 AM,09:35:00,840,813
"        50 - Route 50",sanout - heapar,03/06/2022 12:00 AM,09:35:00,840,719
"        50 - Route 50",sanout - heapar,03/27/2022 12:00 AM,09:35:00,840,788
"        50 - Route 50",bearid - sanout,12/19/2021 12:00 AM,09:35:00,420,287
"        50 - Route 50",bearid - sanout,01/09/2022 12:00 AM,09:35:00,420,382
"        50 - Route 50",bearid - sanout,02/13/2022 12:00 AM,09:35:00,420,292
"        50 - Route 50",bearid - sanout,02/20/2022 12:00 AM,09:35:00,420,317
"        50 - Route 50",btwrsh - dantre,12/19/2021 12:00 AM,09:35:00,960,716
"        50 - Route 50",btwrsh - dantre,02/20/2022 12:00 AM,09:35:00,960,711
"        50 - Route 50",dantre - rsw,12/12/2021 12:00 AM,09:35:00,540,566
"        50 - Route 50",dantre - rsw,12/26/2021 12:00 AM,09:35:00,540,555
"        50 - Route 50",dantre - rsw,03/20/2022 12:00 AM,09:35:00,540,500
"        50 - Route 50",heapar - winsum,01/09/2022 12:00 AM,09:35:00,300,131
"        50 - Route 50",heapar - winsum,04/03/2022 12:00 AM,09:35:00,300,288
"        50 - Route 50",sanout - heapar,01/09/2022 12:00 AM,09:35:00,840,851
"        50 - Route 50",sanout - heapar,01/23/2022 12:00 AM,09:35:00,840,744
"        50 - Route 50",sanout - heapar,02/06/2022 12:00 AM,09:35:00,840,692
"        50 - Route 50",winsum - btwrsh,02/27/2022 12:00 AM,09:35:00,900,800
"        50 - Route 50",winsum - btwrsh,03/13/2022 12:00 AM,09:35:00,900,722
"        50 - Route 50",bearid - sanout,03/13/2022 12:00 AM,09:35:00,420,294
"        50 - Route 50",bearid - sanout,03/27/2022 12:00 AM,09:35:00,420,283
