Route,Segment,Date,TripStartTime,Scheduled Running Time,Actual Running Time
"        50 - Route 50",bearid - sanout,12/03/2021 12:00 AM,06:20:00,420,232
"        50 - Route 50",bearid - sanout,12/08/2021 12:00 AM,06:20:00,420,346
"        50 - Route 50",bearid - sanout,12/21/2021 12:00 AM,06:20:00,420,281
"        50 - Route 50",bearid - sanout,12/22/2021 12:00 AM,06:20:00,420,242
"        50 - Route 50",bearid - sanout,01/11/2022 12:00 AM,06:20:00,420,257
"        50 - Route 50",bearid - sanout,12/07/2021 12:00 AM,06:20:00,420,270
"        50 - Route 50",bearid - sanout,01/10/2022 12:00 AM,06:20:00,420,291
"        50 - Route 50",bearid - sanout,01/20/2022 12:00 AM,06:20:00,420,313
"        50 - Route 50",bearid - sanout,01/21/2022 12:00 AM,06:20:00,420,334
"        50 - Route 50",bearid - sanout,02/07/2022 12:00 AM,06:20:00,420,384
"        50 - Route 50",bearid - sanout,02/08/2022 12:00 AM,06:20:00,420,284
"        50 - Route 50",bearid - sanout,02/28/2022 12:00 AM,06:20:00,420,357
"        50 - Route 50",bearid - sanout,03/01/2022 12:00 AM,06:20:00,420,304
"        50 - Route 50",bearid - sanout,02/05/2022 12:00 AM,06:20:00,420,323
"        50 - Route 50",bearid - sanout,02/17/2022 12:00 AM,06:20:00,420,259
"        50 - Route 50",bearid - sanout,03/23/2022 12:00 AM,06:20:00,420,341
"        50 - Route 50",bearid - sanout,03/05/2022 12:00 AM,06:20:00,420,265
"        50 - Route 50",bearid - sanout,03/24/2022 12:00 AM,06:20:00,420,304
"        50 - Route 50",bearid - sanout,04/01/2022 12:00 AM,06:20:00,420,386
"        50 - Route 50",btwrsh - dantre,12/04/2021 12:00 AM,06:20:00,960,724
"        50 - Route 50",btwrsh - dantre,12/20/2021 12:00 AM,06:20:00,960,615
"        50 - Route 50",bearid - sanout,03/29/2022 12:00 AM,06:20:00,420,329
"        50 - Route 50",btwrsh - dantre,12/02/2021 12:00 AM,06:20:00,960,791
"        50 - Route 50",btwrsh - dantre,12/17/2021 12:00 AM,06:20:00,960,802
"        50 - Route 50",btwrsh - dantre,12/18/2021 12:00 AM,06:20:00,960,717
"        50 - Route 50",btwrsh - dantre,12/24/2021 12:00 AM,06:20:00,960,734
"        50 - Route 50",bearid - sanout,12/06/2021 12:00 AM,06:20:00,420,298
"        50 - Route 50",bearid - sanout,12/29/2021 12:00 AM,06:20:00,420,339
"        50 - Route 50",bearid - sanout,01/15/2022 12:00 AM,06:20:00,420,229
"        50 - Route 50",btwrsh - dantre,12/23/2021 12:00 AM,06:20:00,960,827
"        50 - Route 50",btwrsh - dantre,01/05/2022 12:00 AM,06:20:00,960,846
"        50 - Route 50",btwrsh - dantre,01/07/2022 12:00 AM,06:20:00,960,873
"        50 - Route 50",btwrsh - dantre,01/15/2022 12:00 AM,06:20:00,960,717
"        50 - Route 50",btwrsh - dantre,01/17/2022 12:00 AM,06:20:00,960,715
"        50 - Route 50",btwrsh - dantre,01/19/2022 12:00 AM,06:20:00,960,832
"        50 - Route 50",btwrsh - dantre,01/27/2022 12:00 AM,06:20:00,960,879
"        50 - Route 50",btwrsh - dantre,02/04/2022 12:00 AM,06:20:00,960,932
"        50 - Route 50",btwrsh - dantre,02/08/2022 12:00 AM,06:20:00,960,899
"        50 - Route 50",btwrsh - dantre,01/21/2022 12:00 AM,06:20:00,960,741
"        50 - Route 50",btwrsh - dantre,01/29/2022 12:00 AM,06:20:00,960,884
"        50 - Route 50",btwrsh - dantre,02/12/2022 12:00 AM,06:20:00,960,629
"        50 - Route 50",btwrsh - dantre,02/28/2022 12:00 AM,06:20:00,960,668
"        50 - Route 50",bearid - sanout,12/02/2021 12:00 AM,06:20:00,420,257
"        50 - Route 50",bearid - sanout,12/11/2021 12:00 AM,06:20:00,420,338
"        50 - Route 50",bearid - sanout,12/13/2021 12:00 AM,06:20:00,420,336
"        50 - Route 50",bearid - sanout,12/15/2021 12:00 AM,06:20:00,420,279
"        50 - Route 50",bearid - sanout,01/06/2022 12:00 AM,06:20:00,420,289
"        50 - Route 50",bearid - sanout,01/12/2022 12:00 AM,06:20:00,420,274
"        50 - Route 50",bearid - sanout,12/04/2021 12:00 AM,06:20:00,420,275
"        50 - Route 50",bearid - sanout,12/16/2021 12:00 AM,06:20:00,420,269
"        50 - Route 50",bearid - sanout,12/17/2021 12:00 AM,06:20:00,420,288
"        50 - Route 50",bearid - sanout,12/30/2021 12:00 AM,06:20:00,420,281
"        50 - Route 50",bearid - sanout,01/04/2022 12:00 AM,06:20:00,420,311
"        50 - Route 50",bearid - sanout,01/07/2022 12:00 AM,06:20:00,420,270
"        50 - Route 50",bearid - sanout,01/08/2022 12:00 AM,06:20:00,420,298
"        50 - Route 50",bearid - sanout,01/14/2022 12:00 AM,06:20:00,420,359
"        50 - Route 50",bearid - sanout,01/31/2022 12:00 AM,06:20:00,420,277
"        50 - Route 50",bearid - sanout,02/09/2022 12:00 AM,06:20:00,420,297
"        50 - Route 50",bearid - sanout,02/19/2022 12:00 AM,06:20:00,420,287
"        50 - Route 50",bearid - sanout,02/23/2022 12:00 AM,06:20:00,420,341
"        50 - Route 50",bearid - sanout,03/04/2022 12:00 AM,06:20:00,420,268
"        50 - Route 50",bearid - sanout,03/08/2022 12:00 AM,06:20:00,420,241
"        50 - Route 50",bearid - sanout,03/11/2022 12:00 AM,06:20:00,420,392
"        50 - Route 50",btwrsh - dantre,03/18/2022 12:00 AM,06:20:00,960,"1,012"
"        50 - Route 50",dantre - rsw,12/07/2021 12:00 AM,06:20:00,540,554
"        50 - Route 50",dantre - rsw,12/16/2021 12:00 AM,06:20:00,540,577
"        50 - Route 50",btwrsh - dantre,03/14/2022 12:00 AM,06:20:00,960,843
"        50 - Route 50",btwrsh - dantre,03/19/2022 12:00 AM,06:20:00,960,684
"        50 - Route 50",btwrsh - dantre,03/24/2022 12:00 AM,06:20:00,960,734
"        50 - Route 50",btwrsh - dantre,03/31/2022 12:00 AM,06:20:00,960,794
"        50 - Route 50",dantre - rsw,12/22/2021 12:00 AM,06:20:00,540,628
"        50 - Route 50",dantre - rsw,12/27/2021 12:00 AM,06:20:00,540,626
"        50 - Route 50",bearid - sanout,12/14/2021 12:00 AM,06:20:00,420,246
"        50 - Route 50",bearid - sanout,12/28/2021 12:00 AM,06:20:00,420,357
"        50 - Route 50",bearid - sanout,01/05/2022 12:00 AM,06:20:00,420,317
"        50 - Route 50",bearid - sanout,01/17/2022 12:00 AM,06:20:00,420,298
"        50 - Route 50",bearid - sanout,01/19/2022 12:00 AM,06:20:00,420,322
"        50 - Route 50",bearid - sanout,01/28/2022 12:00 AM,06:20:00,420,316
"        50 - Route 50",bearid - sanout,02/22/2022 12:00 AM,06:20:00,420,314
"        50 - Route 50",bearid - sanout,03/02/2022 12:00 AM,06:20:00,420,306
"        50 - Route 50",bearid - sanout,03/03/2022 12:00 AM,06:20:00,420,276
"        50 - Route 50",bearid - sanout,03/09/2022 12:00 AM,06:20:00,420,302
"        50 - Route 50",bearid - sanout,01/13/2022 12:00 AM,06:20:00,420,335
"        50 - Route 50",dantre - rsw,12/28/2021 12:00 AM,06:20:00,540,658
"        50 - Route 50",dantre - rsw,12/30/2021 12:00 AM,06:20:00,540,618
"        50 - Route 50",dantre - rsw,01/13/2022 12:00 AM,06:20:00,540,546
"        50 - Route 50",dantre - rsw,01/15/2022 12:00 AM,06:20:00,540,608
"        50 - Route 50",dantre - rsw,01/22/2022 12:00 AM,06:20:00,540,624
"        50 - Route 50",dantre - rsw,02/07/2022 12:00 AM,06:20:00,540,579
"        50 - Route 50",bearid - sanout,01/18/2022 12:00 AM,06:20:00,420,358
"        50 - Route 50",bearid - sanout,01/22/2022 12:00 AM,06:20:00,420,270
"        50 - Route 50",bearid - sanout,01/25/2022 12:00 AM,06:20:00,420,267
"        50 - Route 50",bearid - sanout,02/02/2022 12:00 AM,06:20:00,420,349
"        50 - Route 50",bearid - sanout,02/03/2022 12:00 AM,06:20:00,420,284
"        50 - Route 50",bearid - sanout,02/04/2022 12:00 AM,06:20:00,420,286
"        50 - Route 50",bearid - sanout,02/12/2022 12:00 AM,06:20:00,420,307
"        50 - Route 50",dantre - rsw,01/17/2022 12:00 AM,06:20:00,540,570
"        50 - Route 50",dantre - rsw,01/18/2022 12:00 AM,06:20:00,540,659
"        50 - Route 50",dantre - rsw,01/27/2022 12:00 AM,06:20:00,540,647
"        50 - Route 50",dantre - rsw,01/31/2022 12:00 AM,06:20:00,540,611
"        50 - Route 50",dantre - rsw,02/17/2022 12:00 AM,06:20:00,540,629
"        50 - Route 50",bearid - sanout,01/26/2022 12:00 AM,06:20:00,420,325
"        50 - Route 50",bearid - sanout,02/01/2022 12:00 AM,06:20:00,420,296
"        50 - Route 50",bearid - sanout,02/15/2022 12:00 AM,06:20:00,420,276
"        50 - Route 50",bearid - sanout,02/18/2022 12:00 AM,06:20:00,420,250
"        50 - Route 50",bearid - sanout,03/07/2022 12:00 AM,06:20:00,420,294
"        50 - Route 50",bearid - sanout,03/10/2022 12:00 AM,06:20:00,420,314
"        50 - Route 50",bearid - sanout,03/14/2022 12:00 AM,06:20:00,420,307
"        50 - Route 50",bearid - sanout,03/17/2022 12:00 AM,06:20:00,420,278
"        50 - Route 50",dantre - rsw,02/23/2022 12:00 AM,06:20:00,540,595
"        50 - Route 50",dantre - rsw,02/24/2022 12:00 AM,06:20:00,540,594
"        50 - Route 50",dantre - rsw,02/26/2022 12:00 AM,06:20:00,540,502
"        50 - Route 50",dantre - rsw,03/03/2022 12:00 AM,06:20:00,540,526
"        50 - Route 50",dantre - rsw,03/14/2022 12:00 AM,06:20:00,540,544
"        50 - Route 50",dantre - rsw,03/24/2022 12:00 AM,06:20:00,540,601
"        50 - Route 50",heapar - winsum,12/09/2021 12:00 AM,06:20:00,300,262
"        50 - Route 50",heapar - winsum,12/14/2021 12:00 AM,06:20:00,300,318
"        50 - Route 50",bearid - sanout,03/12/2022 12:00 AM,06:20:00,420,369
"        50 - Route 50",bearid - sanout,03/18/2022 12:00 AM,06:20:00,420,273
"        50 - Route 50",bearid - sanout,03/21/2022 12:00 AM,06:20:00,420,328
"        50 - Route 50",btwrsh - dantre,12/13/2021 12:00 AM,06:20:00,960,874
