Route,Segment,Date,TripStartTime,Scheduled Running Time,Actual Running Time
"        50 - Route 50",btwrsh - winsum,12/12/2021 12:00 AM,06:45:00,900,826
"        50 - Route 50",btwrsh - winsum,12/19/2021 12:00 AM,06:45:00,900,755
"        50 - Route 50",btwrsh - winsum,03/20/2022 12:00 AM,06:45:00,900,696
"        50 - Route 50",heapar - bearid,12/26/2021 12:00 AM,06:45:00,360,240
"        50 - Route 50",heapar - bearid,01/09/2022 12:00 AM,06:45:00,360,249
"        50 - Route 50",heapar - bearid,04/03/2022 12:00 AM,06:45:00,360,264
"        50 - Route 50",winsum - heapar,12/19/2021 12:00 AM,06:45:00,240,211
"        50 - Route 50",winsum - heapar,01/16/2022 12:00 AM,06:45:00,240,218
"        50 - Route 50",btwrsh - winsum,01/16/2022 12:00 AM,06:45:00,900,723
"        50 - Route 50",btwrsh - winsum,02/06/2022 12:00 AM,06:45:00,900,679
"        50 - Route 50",btwrsh - winsum,02/13/2022 12:00 AM,06:45:00,900,579
"        50 - Route 50",heapar - bearid,03/06/2022 12:00 AM,06:45:00,360,258
"        50 - Route 50",heapar - bearid,03/27/2022 12:00 AM,06:45:00,360,234
"        50 - Route 50",winsum - heapar,01/02/2022 12:00 AM,06:45:00,240,220
"        50 - Route 50",winsum - heapar,01/23/2022 12:00 AM,06:45:00,240,199
"        50 - Route 50",winsum - heapar,02/13/2022 12:00 AM,06:45:00,240,201
"        50 - Route 50",btwrsh - winsum,12/26/2021 12:00 AM,06:45:00,900,695
"        50 - Route 50",btwrsh - winsum,03/13/2022 12:00 AM,06:45:00,900,682
"        50 - Route 50",btwrsh - winsum,04/03/2022 12:00 AM,06:45:00,900,783
"        50 - Route 50",heapar - bearid,12/05/2021 12:00 AM,06:45:00,360,276
"        50 - Route 50",heapar - bearid,12/12/2021 12:00 AM,06:45:00,360,214
"        50 - Route 50",winsum - heapar,12/12/2021 12:00 AM,06:45:00,240,191
"        50 - Route 50",winsum - heapar,01/30/2022 12:00 AM,06:45:00,240,212
"        50 - Route 50",winsum - heapar,03/27/2022 12:00 AM,06:45:00,240,205
"        50 - Route 50",btwrsh - winsum,01/23/2022 12:00 AM,06:45:00,900,865
"        50 - Route 50",btwrsh - winsum,01/30/2022 12:00 AM,06:45:00,900,649
"        50 - Route 50",btwrsh - winsum,03/27/2022 12:00 AM,06:45:00,900,770
"        50 - Route 50",heapar - bearid,01/02/2022 12:00 AM,06:45:00,360,271
"        50 - Route 50",heapar - bearid,01/16/2022 12:00 AM,06:45:00,360,231
"        50 - Route 50",heapar - bearid,01/23/2022 12:00 AM,06:45:00,360,250
"        50 - Route 50",heapar - bearid,01/30/2022 12:00 AM,06:45:00,360,243
"        50 - Route 50",heapar - bearid,03/13/2022 12:00 AM,06:45:00,360,236
"        50 - Route 50",winsum - heapar,12/26/2021 12:00 AM,06:45:00,240,210
"        50 - Route 50",winsum - heapar,02/20/2022 12:00 AM,06:45:00,240,189
"        50 - Route 50",winsum - heapar,03/20/2022 12:00 AM,06:45:00,240,196
"        50 - Route 50",btwrsh - winsum,01/02/2022 12:00 AM,06:45:00,900,693
"        50 - Route 50",btwrsh - winsum,02/20/2022 12:00 AM,06:45:00,900,606
"        50 - Route 50",heapar - bearid,12/19/2021 12:00 AM,06:45:00,360,243
"        50 - Route 50",heapar - bearid,02/13/2022 12:00 AM,06:45:00,360,271
"        50 - Route 50",heapar - bearid,02/27/2022 12:00 AM,06:45:00,360,350
"        50 - Route 50",winsum - heapar,02/06/2022 12:00 AM,06:45:00,240,184
"        50 - Route 50",winsum - heapar,02/27/2022 12:00 AM,06:45:00,240,198
"        50 - Route 50",winsum - heapar,03/13/2022 12:00 AM,06:45:00,240,210
"        50 - Route 50",heapar - bearid,02/06/2022 12:00 AM,06:45:00,360,272
"        50 - Route 50",heapar - bearid,02/20/2022 12:00 AM,06:45:00,360,194
"        50 - Route 50",winsum - heapar,01/09/2022 12:00 AM,06:45:00,240,206
"        50 - Route 50",btwrsh - winsum,12/05/2021 12:00 AM,06:45:00,900,871
"        50 - Route 50",btwrsh - winsum,01/09/2022 12:00 AM,06:45:00,900,720
"        50 - Route 50",winsum - heapar,03/06/2022 12:00 AM,06:45:00,240,196
"        50 - Route 50",winsum - heapar,04/03/2022 12:00 AM,06:45:00,240,197
"        50 - Route 50",btwrsh - winsum,02/27/2022 12:00 AM,06:45:00,900,593
"        50 - Route 50",heapar - bearid,03/20/2022 12:00 AM,06:45:00,360,245
"        50 - Route 50",winsum - heapar,12/05/2021 12:00 AM,06:45:00,240,188
"        50 - Route 50",btwrsh - winsum,03/20/2022 12:00 AM,08:26:00,"1,200",700
"        50 - Route 50",dantre - btwrsh,12/05/2021 12:00 AM,08:26:00,840,598
"        50 - Route 50",dantre - btwrsh,02/13/2022 12:00 AM,08:26:00,840,499
"        50 - Route 50",heapar - bearid,12/12/2021 12:00 AM,08:26:00,300,311
"        50 - Route 50",heapar - bearid,01/30/2022 12:00 AM,08:26:00,300,285
"        50 - Route 50",heapar - bearid,02/27/2022 12:00 AM,08:26:00,300,289
"        50 - Route 50",heapar - bearid,03/06/2022 12:00 AM,08:26:00,300,253
"        50 - Route 50",winsum - heapar,12/05/2021 12:00 AM,08:26:00,240,190
"        50 - Route 50",winsum - heapar,03/13/2022 12:00 AM,08:26:00,240,191
"        50 - Route 50",winsum - heapar,04/03/2022 12:00 AM,08:26:00,240,228
"        50 - Route 50",btwrsh - winsum,03/13/2022 12:00 AM,08:26:00,"1,200",729
"        50 - Route 50",dantre - btwrsh,02/06/2022 12:00 AM,08:26:00,840,517
"        50 - Route 50",dantre - btwrsh,02/27/2022 12:00 AM,08:26:00,840,528
"        50 - Route 50",heapar - bearid,12/26/2021 12:00 AM,08:26:00,300,237
"        50 - Route 50",heapar - bearid,01/16/2022 12:00 AM,08:26:00,300,277
"        50 - Route 50",heapar - bearid,03/20/2022 12:00 AM,08:26:00,300,278
"        50 - Route 50",rsw - dantre,02/27/2022 12:00 AM,08:26:00,600,708
"        50 - Route 50",rsw - dantre,03/27/2022 12:00 AM,08:26:00,600,558
"        50 - Route 50",btwrsh - winsum,12/26/2021 12:00 AM,08:26:00,"1,200",702
"        50 - Route 50",dantre - btwrsh,01/30/2022 12:00 AM,08:26:00,840,576
"        50 - Route 50",heapar - bearid,04/03/2022 12:00 AM,08:26:00,300,246
"        50 - Route 50",winsum - heapar,12/12/2021 12:00 AM,08:26:00,240,220
"        50 - Route 50",winsum - heapar,03/06/2022 12:00 AM,08:26:00,240,200
"        50 - Route 50",winsum - heapar,03/20/2022 12:00 AM,08:26:00,240,189
"        50 - Route 50",btwrsh - winsum,12/19/2021 12:00 AM,08:26:00,"1,200",750
"        50 - Route 50",btwrsh - winsum,01/09/2022 12:00 AM,08:26:00,"1,200",691
"        50 - Route 50",btwrsh - winsum,02/13/2022 12:00 AM,08:26:00,"1,200",842
"        50 - Route 50",btwrsh - winsum,02/20/2022 12:00 AM,08:26:00,"1,200",681
"        50 - Route 50",btwrsh - winsum,02/27/2022 12:00 AM,08:26:00,"1,200",793
"        50 - Route 50",dantre - btwrsh,03/20/2022 12:00 AM,08:26:00,840,589
"        50 - Route 50",dantre - btwrsh,04/03/2022 12:00 AM,08:26:00,840,610
"        50 - Route 50",rsw - dantre,12/05/2021 12:00 AM,08:26:00,600,543
"        50 - Route 50",rsw - dantre,02/20/2022 12:00 AM,08:26:00,600,489
"        50 - Route 50",rsw - dantre,03/20/2022 12:00 AM,08:26:00,600,464
