Route,Segment,Date,TripStartTime,Scheduled Running Time,Actual Running Time
"        50 - Route 50",btwrsh - winsum,12/10/2021 12:00 AM,06:45:00,900,803
"        50 - Route 50",btwrsh - winsum,12/23/2021 12:00 AM,06:45:00,900,755
"        50 - Route 50",btwrsh - winsum,12/27/2021 12:00 AM,06:45:00,900,638
"        50 - Route 50",btwrsh - winsum,01/06/2022 12:00 AM,06:45:00,900,805
"        50 - Route 50",btwrsh - winsum,01/21/2022 12:00 AM,06:45:00,900,758
"        50 - Route 50",btwrsh - winsum,01/22/2022 12:00 AM,06:45:00,900,702
"        50 - Route 50",btwrsh - winsum,12/08/2021 12:00 AM,06:45:00,900,639
"        50 - Route 50",btwrsh - winsum,12/09/2021 12:00 AM,06:45:00,900,737
"        50 - Route 50",btwrsh - winsum,12/18/2021 12:00 AM,06:45:00,900,638
"        50 - Route 50",btwrsh - winsum,01/07/2022 12:00 AM,06:45:00,900,766
"        50 - Route 50",btwrsh - winsum,01/17/2022 12:00 AM,06:45:00,900,628
"        50 - Route 50",btwrsh - winsum,01/31/2022 12:00 AM,06:45:00,900,774
"        50 - Route 50",btwrsh - winsum,12/02/2021 12:00 AM,06:45:00,900,617
"        50 - Route 50",btwrsh - winsum,12/07/2021 12:00 AM,06:45:00,900,673
"        50 - Route 50",btwrsh - winsum,12/16/2021 12:00 AM,06:45:00,900,789
"        50 - Route 50",btwrsh - winsum,01/04/2022 12:00 AM,06:45:00,900,834
"        50 - Route 50",btwrsh - winsum,01/10/2022 12:00 AM,06:45:00,900,700
"        50 - Route 50",btwrsh - winsum,01/11/2022 12:00 AM,06:45:00,900,798
"        50 - Route 50",btwrsh - winsum,01/19/2022 12:00 AM,06:45:00,900,784
"        50 - Route 50",btwrsh - winsum,12/03/2021 12:00 AM,06:45:00,900,937
"        50 - Route 50",btwrsh - winsum,12/17/2021 12:00 AM,06:45:00,900,769
"        50 - Route 50",btwrsh - winsum,12/21/2021 12:00 AM,06:45:00,900,951
"        50 - Route 50",btwrsh - winsum,01/28/2022 12:00 AM,06:45:00,900,780
"        50 - Route 50",btwrsh - winsum,02/10/2022 12:00 AM,06:45:00,900,927
"        50 - Route 50",btwrsh - winsum,02/21/2022 12:00 AM,06:45:00,900,634
"        50 - Route 50",btwrsh - winsum,02/23/2022 12:00 AM,06:45:00,900,786
"        50 - Route 50",btwrsh - winsum,02/24/2022 12:00 AM,06:45:00,900,727
"        50 - Route 50",btwrsh - winsum,02/26/2022 12:00 AM,06:45:00,900,699
"        50 - Route 50",btwrsh - winsum,03/09/2022 12:00 AM,06:45:00,900,926
"        50 - Route 50",btwrsh - winsum,03/14/2022 12:00 AM,06:45:00,900,799
"        50 - Route 50",btwrsh - winsum,03/16/2022 12:00 AM,06:45:00,900,681
"        50 - Route 50",btwrsh - winsum,12/14/2021 12:00 AM,06:45:00,900,896
"        50 - Route 50",btwrsh - winsum,12/15/2021 12:00 AM,06:45:00,900,773
"        50 - Route 50",btwrsh - winsum,12/30/2021 12:00 AM,06:45:00,900,787
"        50 - Route 50",btwrsh - winsum,12/31/2021 12:00 AM,06:45:00,900,725
"        50 - Route 50",btwrsh - winsum,01/03/2022 12:00 AM,06:45:00,900,780
"        50 - Route 50",btwrsh - winsum,01/08/2022 12:00 AM,06:45:00,900,682
"        50 - Route 50",btwrsh - winsum,01/13/2022 12:00 AM,06:45:00,900,773
"        50 - Route 50",btwrsh - winsum,01/14/2022 12:00 AM,06:45:00,900,737
"        50 - Route 50",btwrsh - winsum,02/08/2022 12:00 AM,06:45:00,900,943
"        50 - Route 50",btwrsh - winsum,02/15/2022 12:00 AM,06:45:00,900,727
"        50 - Route 50",btwrsh - winsum,02/16/2022 12:00 AM,06:45:00,900,726
"        50 - Route 50",btwrsh - winsum,02/28/2022 12:00 AM,06:45:00,900,917
"        50 - Route 50",btwrsh - winsum,03/11/2022 12:00 AM,06:45:00,900,755
"        50 - Route 50",btwrsh - winsum,03/19/2022 12:00 AM,06:45:00,900,692
"        50 - Route 50",btwrsh - winsum,01/26/2022 12:00 AM,06:45:00,900,751
"        50 - Route 50",btwrsh - winsum,02/11/2022 12:00 AM,06:45:00,900,857
"        50 - Route 50",btwrsh - winsum,02/19/2022 12:00 AM,06:45:00,900,695
"        50 - Route 50",btwrsh - winsum,03/01/2022 12:00 AM,06:45:00,900,685
"        50 - Route 50",btwrsh - winsum,03/18/2022 12:00 AM,06:45:00,900,880
"        50 - Route 50",btwrsh - winsum,04/02/2022 12:00 AM,06:45:00,900,748
"        50 - Route 50",btwrsh - winsum,03/21/2022 12:00 AM,06:45:00,900,790
"        50 - Route 50",btwrsh - winsum,03/23/2022 12:00 AM,06:45:00,900,660
"        50 - Route 50",btwrsh - winsum,03/26/2022 12:00 AM,06:45:00,900,718
"        50 - Route 50",btwrsh - winsum,02/07/2022 12:00 AM,06:45:00,900,659
"        50 - Route 50",btwrsh - winsum,02/25/2022 12:00 AM,06:45:00,900,763
"        50 - Route 50",btwrsh - winsum,03/07/2022 12:00 AM,06:45:00,900,811
"        50 - Route 50",btwrsh - winsum,03/08/2022 12:00 AM,06:45:00,900,807
"        50 - Route 50",btwrsh - winsum,03/15/2022 12:00 AM,06:45:00,900,922
"        50 - Route 50",btwrsh - winsum,01/25/2022 12:00 AM,06:45:00,900,761
"        50 - Route 50",btwrsh - winsum,01/27/2022 12:00 AM,06:45:00,900,788
"        50 - Route 50",btwrsh - winsum,01/29/2022 12:00 AM,06:45:00,900,696
"        50 - Route 50",btwrsh - winsum,02/02/2022 12:00 AM,06:45:00,900,718
"        50 - Route 50",btwrsh - winsum,02/03/2022 12:00 AM,06:45:00,900,778
"        50 - Route 50",btwrsh - winsum,02/09/2022 12:00 AM,06:45:00,900,720
"        50 - Route 50",btwrsh - winsum,02/22/2022 12:00 AM,06:45:00,900,913
"        50 - Route 50",btwrsh - winsum,03/10/2022 12:00 AM,06:45:00,900,865
"        50 - Route 50",btwrsh - winsum,12/01/2021 12:00 AM,06:45:00,900,808
"        50 - Route 50",btwrsh - winsum,12/13/2021 12:00 AM,06:45:00,900,741
"        50 - Route 50",btwrsh - winsum,12/28/2021 12:00 AM,06:45:00,900,659
"        50 - Route 50",btwrsh - winsum,12/29/2021 12:00 AM,06:45:00,900,603
"        50 - Route 50",btwrsh - winsum,12/04/2021 12:00 AM,06:45:00,900,725
"        50 - Route 50",btwrsh - winsum,12/06/2021 12:00 AM,06:45:00,900,671
"        50 - Route 50",btwrsh - winsum,12/22/2021 12:00 AM,06:45:00,900,742
"        50 - Route 50",btwrsh - winsum,01/15/2022 12:00 AM,06:45:00,900,747
"        50 - Route 50",btwrsh - winsum,12/11/2021 12:00 AM,06:45:00,900,757
"        50 - Route 50",btwrsh - winsum,12/20/2021 12:00 AM,06:45:00,900,684
"        50 - Route 50",btwrsh - winsum,12/24/2021 12:00 AM,06:45:00,900,686
"        50 - Route 50",btwrsh - winsum,01/05/2022 12:00 AM,06:45:00,900,700
"        50 - Route 50",btwrsh - winsum,01/12/2022 12:00 AM,06:45:00,900,629
"        50 - Route 50",btwrsh - winsum,01/18/2022 12:00 AM,06:45:00,900,809
"        50 - Route 50",btwrsh - winsum,02/14/2022 12:00 AM,06:45:00,900,733
"        50 - Route 50",btwrsh - winsum,03/31/2022 12:00 AM,06:45:00,900,743
"        50 - Route 50",heapar - bearid,12/04/2021 12:00 AM,06:45:00,300,370
"        50 - Route 50",heapar - bearid,12/22/2021 12:00 AM,06:45:00,300,294
"        50 - Route 50",heapar - bearid,12/24/2021 12:00 AM,06:45:00,300,356
"        50 - Route 50",heapar - bearid,12/31/2021 12:00 AM,06:45:00,300,282
"        50 - Route 50",heapar - bearid,01/08/2022 12:00 AM,06:45:00,300,309
"        50 - Route 50",heapar - bearid,01/20/2022 12:00 AM,06:45:00,300,297
"        50 - Route 50",heapar - bearid,01/21/2022 12:00 AM,06:45:00,300,293
"        50 - Route 50",btwrsh - winsum,03/24/2022 12:00 AM,06:45:00,900,729
"        50 - Route 50",btwrsh - winsum,01/20/2022 12:00 AM,06:45:00,900,687
"        50 - Route 50",btwrsh - winsum,02/01/2022 12:00 AM,06:45:00,900,881
"        50 - Route 50",btwrsh - winsum,02/04/2022 12:00 AM,06:45:00,900,762
"        50 - Route 50",btwrsh - winsum,02/17/2022 12:00 AM,06:45:00,900,830
"        50 - Route 50",btwrsh - winsum,03/03/2022 12:00 AM,06:45:00,900,645
"        50 - Route 50",btwrsh - winsum,03/12/2022 12:00 AM,06:45:00,900,662
"        50 - Route 50",btwrsh - winsum,02/05/2022 12:00 AM,06:45:00,900,669
"        50 - Route 50",btwrsh - winsum,02/12/2022 12:00 AM,06:45:00,900,720
"        50 - Route 50",btwrsh - winsum,02/18/2022 12:00 AM,06:45:00,900,807
"        50 - Route 50",btwrsh - winsum,03/02/2022 12:00 AM,06:45:00,900,615
"        50 - Route 50",heapar - bearid,01/25/2022 12:00 AM,06:45:00,300,292
"        50 - Route 50",heapar - bearid,02/03/2022 12:00 AM,06:45:00,300,225
"        50 - Route 50",heapar - bearid,02/15/2022 12:00 AM,06:45:00,300,274
"        50 - Route 50",heapar - bearid,02/16/2022 12:00 AM,06:45:00,300,215
"        50 - Route 50",heapar - bearid,02/28/2022 12:00 AM,06:45:00,300,261
"        50 - Route 50",heapar - bearid,03/05/2022 12:00 AM,06:45:00,300,279
"        50 - Route 50",btwrsh - winsum,03/25/2022 12:00 AM,06:45:00,900,916
"        50 - Route 50",btwrsh - winsum,03/17/2022 12:00 AM,06:45:00,900,812
"        50 - Route 50",btwrsh - winsum,03/22/2022 12:00 AM,06:45:00,900,929
"        50 - Route 50",btwrsh - winsum,04/01/2022 12:00 AM,06:45:00,900,762
"        50 - Route 50",heapar - bearid,01/22/2022 12:00 AM,06:45:00,300,322
"        50 - Route 50",heapar - bearid,01/26/2022 12:00 AM,06:45:00,300,289
"        50 - Route 50",heapar - bearid,02/04/2022 12:00 AM,06:45:00,300,303
"        50 - Route 50",heapar - bearid,02/10/2022 12:00 AM,06:45:00,300,300
"        50 - Route 50",heapar - bearid,02/25/2022 12:00 AM,06:45:00,300,250
"        50 - Route 50",heapar - bearid,02/26/2022 12:00 AM,06:45:00,300,278
"        50 - Route 50",heapar - bearid,03/04/2022 12:00 AM,06:45:00,300,249
"        50 - Route 50",heapar - bearid,12/14/2021 12:00 AM,06:45:00,300,229
"        50 - Route 50",heapar - bearid,12/17/2021 12:00 AM,06:45:00,300,290
"        50 - Route 50",heapar - bearid,01/05/2022 12:00 AM,06:45:00,300,216
"        50 - Route 50",heapar - bearid,01/15/2022 12:00 AM,06:45:00,300,296
"        50 - Route 50",heapar - bearid,12/01/2021 12:00 AM,06:45:00,300,357
"        50 - Route 50",heapar - bearid,12/03/2021 12:00 AM,06:45:00,300,297
"        50 - Route 50",heapar - bearid,12/28/2021 12:00 AM,06:45:00,300,397
"        50 - Route 50",heapar - bearid,03/14/2022 12:00 AM,06:45:00,300,262
"        50 - Route 50",heapar - bearid,03/17/2022 12:00 AM,06:45:00,300,236
"        50 - Route 50",heapar - bearid,03/21/2022 12:00 AM,06:45:00,300,290
"        50 - Route 50",heapar - bearid,03/30/2022 12:00 AM,06:45:00,300,246
"        50 - Route 50",heapar - bearid,12/06/2021 12:00 AM,06:45:00,300,289
"        50 - Route 50",heapar - bearid,12/07/2021 12:00 AM,06:45:00,300,285
"        50 - Route 50",heapar - bearid,12/21/2021 12:00 AM,06:45:00,300,280
"        50 - Route 50",heapar - bearid,12/27/2021 12:00 AM,06:45:00,300,329
"        50 - Route 50",heapar - bearid,01/06/2022 12:00 AM,06:45:00,300,226
"        50 - Route 50",heapar - bearid,02/02/2022 12:00 AM,06:45:00,300,211
"        50 - Route 50",heapar - bearid,02/14/2022 12:00 AM,06:45:00,300,289
"        50 - Route 50",heapar - bearid,03/02/2022 12:00 AM,06:45:00,300,363
"        50 - Route 50",heapar - bearid,12/09/2021 12:00 AM,06:45:00,300,245
"        50 - Route 50",heapar - bearid,12/11/2021 12:00 AM,06:45:00,300,243
"        50 - Route 50",heapar - bearid,12/13/2021 12:00 AM,06:45:00,300,212
"        50 - Route 50",heapar - bearid,12/20/2021 12:00 AM,06:45:00,300,295
"        50 - Route 50",heapar - bearid,12/29/2021 12:00 AM,06:45:00,300,286
"        50 - Route 50",heapar - bearid,01/10/2022 12:00 AM,06:45:00,300,303
"        50 - Route 50",heapar - bearid,02/07/2022 12:00 AM,06:45:00,300,226
"        50 - Route 50",heapar - bearid,02/08/2022 12:00 AM,06:45:00,300,193
"        50 - Route 50",heapar - bearid,02/11/2022 12:00 AM,06:45:00,300,248
"        50 - Route 50",heapar - bearid,03/16/2022 12:00 AM,06:45:00,300,279
"        50 - Route 50",heapar - bearid,03/19/2022 12:00 AM,06:45:00,300,302
"        50 - Route 50",heapar - bearid,01/03/2022 12:00 AM,06:45:00,300,301
"        50 - Route 50",heapar - bearid,01/04/2022 12:00 AM,06:45:00,300,204
"        50 - Route 50",heapar - bearid,01/12/2022 12:00 AM,06:45:00,300,260
"        50 - Route 50",heapar - bearid,01/13/2022 12:00 AM,06:45:00,300,285
"        50 - Route 50",heapar - bearid,01/18/2022 12:00 AM,06:45:00,300,289
"        50 - Route 50",heapar - bearid,01/19/2022 12:00 AM,06:45:00,300,308
"        50 - Route 50",heapar - bearid,01/27/2022 12:00 AM,06:45:00,300,271
"        50 - Route 50",heapar - bearid,03/15/2022 12:00 AM,06:45:00,300,289
"        50 - Route 50",heapar - bearid,03/22/2022 12:00 AM,06:45:00,300,224
"        50 - Route 50",heapar - bearid,03/23/2022 12:00 AM,06:45:00,300,249
"        50 - Route 50",heapar - bearid,02/01/2022 12:00 AM,06:45:00,300,226
"        50 - Route 50",heapar - bearid,02/05/2022 12:00 AM,06:45:00,300,280
"        50 - Route 50",heapar - bearid,02/19/2022 12:00 AM,06:45:00,300,228
"        50 - Route 50",heapar - bearid,02/22/2022 12:00 AM,06:45:00,300,318
"        50 - Route 50",heapar - bearid,03/08/2022 12:00 AM,06:45:00,300,249
"        50 - Route 50",heapar - bearid,03/11/2022 12:00 AM,06:45:00,300,359
"        50 - Route 50",heapar - bearid,03/12/2022 12:00 AM,06:45:00,300,207
"        50 - Route 50",heapar - bearid,03/25/2022 12:00 AM,06:45:00,300,320
"        50 - Route 50",heapar - bearid,03/29/2022 12:00 AM,06:45:00,300,226
"        50 - Route 50",heapar - bearid,03/31/2022 12:00 AM,06:45:00,300,288
